original_id,original
48,isch zwar eifach us (unverständlich) aber isch ja luschtig
49,hesch du nie im sand gspiut auso (.) burg bout
50,weisch du no womer dr wie heisst är dr dr pastor dr
51,nei (.) nei aber XXX stimmt scho
52,ja genau (.) dä womer hei dörfe d sandburge beurteile u hei es (.) CARAMBAR derfür becho (.)
53,ja mir hei verlore denn
54,mir heis chli vergä üsi isch nid so cool gsi guet die angere hei denn so henne förmli gha
55,de ha ig haut äbe o süsch idee gha
56,oder womer mit dr XXX si ga bade
57,am zwöufi nei stimmt gar nid es isch nid mit dr XXX gsi (.) es isch mit dr
58,doch am zwöufi am abe aber (unverständlich)
59,scho guet
60,i weiss o nid mou mit XXX het sie XXX gheisse
61,okay
62,das isch aber cool
63,u när aber denn i weiss no denn hei mer när use wöue u när ischs duss haut viu cheuter gsi aus im meer oder u zur duschi wöue u när hets di häre ah nei när simer ga duusche u hei mr zrügg wöue när hets di häregleit u när simer nomau i ds meer u nomau ga duusche
64,het eifach gar nüt bracht gha das duusche denn
65,nei i gloub s'isch am auso nachem (.)  abe gsi so am zähni oder (..)
66,i gloub denn mau es jahr gsi woni nid chrank bi gsi hehe
67,ja i bi mehrmaus chrank gsi
68,ja zwöi mau
69,eifach ni fit gsi einisch u einisch hani würk mage darm gha
70,ja
71,uhem
72,mi fründ
73,ja ja me isch ja einisch numme jung
74,ja villech gschider
75,o dä mit em bändeli tuusche wed all inclusive hesch (.) u när (unverständlich) das
76,fingi eifach die einte hei zaut u die angere nid
77,guet uf ne art chasch ja (.) enang usgä aber uf ne art
78,uf e ne art verstahnis dass wosch tuusche i meine de chasch meh häufe aber du lizisch haut ds hotel wo kultur scho sowieso (.) es guets agebot macht so übere (.) huufe
79,es isch aber vor auem o mhm das si gfaketi die hei gar nid überau (unverständlich)
80,hei sis öppe gmerkt
81,was
82,guet aber das chönnte ihm o eifach angeri gä ha wo dörfe (...)
83,guet i verstahs (.) sie hei äuä richtig heftig uf ds dach becho weisch (.) die agsteute (....)
84,es isch scho komisch aber i meine de chef het ne öppe hehe gseit (..)
85,aber uf ne art verstah nis no i meine im VOLG sie kontrolliere ja o niso guet
86,wie hesch die gchouft
87,ahh
88,guet aber am ne zwölf jährige ching klar dörfte sies nid verchoufe aber kirschstängeli wer besuuft sich mit kirschstängeli
89,guet da hani aber  aube o scho dörfe vo mim vater  (.) aber eifach ja aber i has nid fein gfunge haut
90,gruusig
91,u ig scho numme (.) mi vater het einisch so baileys gno u so es schlückli dörfe porbiere u i so
92,es chrazet
93,wii isch gruusig
94,wää wää
95,aber bier hani ja vou gärn auso vou gärn (.) i trinkes ni viu aber bier fingi je nachdem ischs (.) no es guets mhm
96,mou so es CHOPFAB isch no guet oder es ehm wie heisst da när ds angere  (.) fingi imfau no guet (.)
97,nei nei
98,ja ender [irgend eis buh eh] (.) bi XXX geburi hei si denn gä
99,das het mi imfau de hönne gstört i bi speter cho aus aui (..) angere oder
100,ds erste wo nei si si  überhoupt nid bsoffe gsi sie wäres gärn gsi aber
101,ds erste wo sie mache isch mer sie drücke mir es bier id finger när so (..) okay i zie mi zersch mau no d schue ab (.)
102,(..) SOMMERSBY das fingi o mega fein (..)
103,weisch i finge so XXX XXX u so die hei aui so (.) e strängi istellig das heimer gloub scho mau diskutiert
104,ja wüu i finge  (..) u ab u zue mau hallo i ha mi no nie bso besoffe so wie itz angeri gö ga suufe (.)
105,aber das verstahni o ni (.) wed use geisch u när geisch eifach use [  ] für d suufe losisch sowieso die ganz zit zü eh musig mit dine airpods u bisch eh immer uf snapchat ungerwägs u snappisch enang snaps obwohl d eifach da chöntsch rede blödele
106,so tschüss (unverständlich) oh vou cool
107,ja das fingi okay das isch när öppis angers aber (...) aber dir heit nech ja nid troffe zum suufe sondern für si geburi z fiire
108,und die wo eifach use gö ja chum mir gö mau chli ga suufe (.) was macht das biite für ne sinn (.) eifach dass de när chasch säge oh i bi so dicht gsi am wuuchenänd (.)
109,das hei mer denn o gspiut aber isch eifach längwilig gsi wüu mir si eifach aui da ghocket (.) niemer het troffe (.) hesch mau wider müesse trinke bisch eh nüm bsoffe gsi
110,när hei mer no es exit probiert z spile weisch das spili (..)
111,ja du meusch eifach usecho irgendwie aber es isch äbe würk no schwirig gsi u es isch numme ds mittlere gsi u i ha no ds extremere dehei i has no nie gspiut (.) aber mir müesses mache
112,ja genau
113,aber ja das muess mä eifach nid am ne abe mache sondern villech am ne namitag mau aui chönt mau mit de dudes oder mit dr chligruppe
114,konzentriert
115,(....) (unverständllich) wie headis spile würd is villech vou im griff ha
116,auso nid dassi headis im griff hätt
117,guet de müesste sie no chli meh ah nei de müesse die angere när trinke
118,hmm
119,wirsch eifach abgfüut
120,ja guet abfüue (..) isch angers
121,ja du chaschs ja mit wasser spile ir kita das hani mau uf insta gläse
122,mit wasser d ching hei spass gha u sie hei aui gnue trunke
123,(..) was heit dir aus
124,wüu dr anger isch usegheit oder wie
125,(..) e rouhockeyler sogar vo uttige zuefällig (.) vo
126,nimmi a (.) i meine lug mau üsi nachbarschft a XXX XXX
127,ah scheisse
128,was mache die im summer
129,(..) hauetraining aha oder so ja
130,(...) musikalisch heit dir doch o no ah die si zwar nid so sportlech
131,d XXX
132,auso alphorn XXX
133,(..) ah so horn ja (.)
134,unihockey bisch die einzigi (..)
135,krass dr räscht hets usegfulet
136,auso die angere auso si de när o weisch so sportler oder künstlerklasse
137,oder sis när normali gymerklasse
138,gha (unverständlich)
139,(.....) ja ja (.)
140,dès scho
141,cool
142,(.....) oh (..) nid guet
143,woah
144,hm ghöri nüm drzue auso im momänt nid auber du hesch ja o lang bänder gha
145,ja guet
146,lengere usfau
147,cha si dür das usm sportgymer usegheie we sie
148,ja (unverständlich)
149,so wie di angere die si im summer (.) e XXX XXX u so (.) die si o (.)
150,(.......) wow scho henne cool (.)
151,oh
152,das (..) isch scho cool isch zwar aues inland und aues ir (.) umgäbig bern aber cool
153,(.) oh (....) ja (..)
154,ah das fändi so cool (.....)
155,da hesch chaut gha (.)
156,guet es tönt mega cool mir si äbe o mit ehm womer si ga biwakne mit XXX XXX (.) u so simer o uf ds BLUEME das isch o
157,(.) das isch so cool gsi weisch eifach (.) so
158,oh i ha fasch nid möge ufe loufe oder i ha so dänkt ja zää minute oder vo heiligeschwändi ufe auso vor (.) rehaklinik
159,aber i has eifach nüm gwüsst gha oder isch e haub stung (.) mir hei när chli lenger gha oder u iih i weiss nid wieso aber mi rucksack isch schwerer gsi aus denn für uf e jakobsweg
160,oder u denn hani (.) zää kilo euf kilo gha
161,und
162,denn irgendwie o klar i ha öppe drüü liter z trinke gha (.) für i ha es pfännli gha i ha aus ässe gha u wo ds ässe wäg isch gsi am nächste morge isch är viu liechter gsi
163,aber i ha haut o nid gschickt packet gha i ha eifach aues inegstopft gha (..) nei ne nei aber zum trage (.) machts es us
164,das fingi super (.)
165,(...) die si eh hiufsbereit
166,die meischte (........) so chli wie im smartcamp
167,(..) dert isch haut eifach ei nacht gsi wo für d ungerkunft hesch müessä [suechä] ja
168,guet
169,(..) isch dr hammer gsi (.)
170,(.) ja (..)
171,huh (unverständlich)  (..) isch so cool (.)
172,(.....) so ugh ja zit mit dr XXX wöue verbringe ohni d schwoscht wo drbi isch (.)
173,mh i bi ächt gspannt wie d XXX das macht (.) wüu irgendwie (.) nid bös gmeint aber i gseh sie nid so aus leitigsperson
174,sie (.) seit zwar ja immer weisch ja
175,(...) ja sehr hingerfragt
176,i überlege mer immer so ir chligruppe we dir chömet so ja u si hingerfragt weisi nid iih i hingerfrage gar nid söfu
177,i überlege o süsch nid wie söfu viu
178,i läbes haut eifach (.) i bi nid dr dänker i bi eifach dr macher(..) i so sache
179,(...) ja uf jede fau
180,(...) ja ja
181,gloub o es chunnt guet u weisch sie isch no bim gloube (.) u das isch d houptsach (.)
182,ehm (..)
183,ig o nid i wot so viu orte häre ehm
184,i fänd
185,i fänd irgendwie ehm uf HAWAII irgendwie mau henne cool
186,aber es isch haut eifach so so i de fiume gsehsch so HAWAII ja wow wunderschön aber i gloube dört isch es när nid so (.) wow schei sondern haut
187,dänksch so (unverständlich)
188,(....) so wie ds (unverständlich)
189,takiitos (.) takentos
190,aber dört es isch o i has scho weisch es isch so schön gsi dört und i ha itz (.) so ne schöni insle
191,(..) ja zimlech sicher (..)
192,(.) ribi aber (...)
193,i i i weiss ömu i (....) ja (...)
194,henne cool
195,ja mir si oder womer ehm i bi ja mit dr XXX ds HOHTÜRLI ga loufe auso kientalersiite ufe (.) u da
196,und alpe (.) aber im umgekehrte tempo auso
197,umgekehrti reihefolg
198,u när da haut aus ufe u när änne aso d LOCHMÄNNER äne wider abe u när so wunderschön haut OESCHINE
199,u dr OESCHINESEE dä het ja eifach klar blaus wasser oder
200,nid nid klar (..) auso mou aber es (..) isch es isch nei es isch so schön
201,hey i bi dört gstange ha achegluegt u hani würk fasch nid gwüsst wie ig das itz söu beschribe u das passiert mir ja nid weisch (.) i rede ja so viu
202,(.) aber ernst jetzt dört so wow
203,wow (.) aber das het so
204,wow das het mi so schön dünkt würk
205,ZAKYNTHOS isch scho schön gsi aber hei dr OESCHINESEE das het mi denn henne berührt (.) das het mi so schön dünkt (.) ja
206,ja (.)
207,huh (.) ja dä isch o so schön aber es isch aues so touristisch (.)
208,wüu wed när am afang dobe oder am morge so chum lüt hets [achä gsehsch] dänksch so desto witer ache desto meh turnschuhe touriste hets gha
209,ja dänksch so
210,(.) we dir itz da witer ufe geit de de de de sit dr imfau chli misstritt gfährdet
211,(..) ja (....)
212,(....) die angere da (...)
213,guet äbä dir sit sicher ufegloffe oder
214,(.) scho nid (..)
215,weisch was ja ja weisch was ig krass finge
216,es git itzä es dings äs shuttletaxi vor taustation zum see füre
217,hey mir hets fasch eine gä hallo i de bärge
218,(.) das bruchsch doch itz nid ja
219,das au die touris u gröselis no hingere chöme
220,(.) ufene art isch es ja henne cool aber
221,(.) ja u es isch würk spaziere
222,när chasch (.) klar när chasch chli ume see auso chunnsch när nid rund ume aber
223,(..) ja (.) vor bergstation (.)
224,bergstation
225,ja und vorauem aui gö wider so i d berge und natur hashtag naturelife und so
226,(.) när gsehsch se so aso
227,imfau we du mit dene schueh da ufe wosch de bisch du nid so ne naturmönsch wüu die richtige naturmönsche gseh dass das nid guet chunnt
228,ga go for GRETA
229,(.) uh auso (.)
230,i meine ufe loufe du loufsch e stung ufe (.) wenn d dr eifacher wäg nimmsch u we d dr dr eh wanderwäg auso würklech wanderwäg nimmsch weisch ds chline wägli unger ufe hesch chli lenger
231,aber mir si denn mit
232,oh mit XXX das i bi mau (.) ändi nünti klass gloub gsi
233,bini mit XXX ga wandere auso simer zum OESCHINESEE mit ihrer familie ihre brüetsch ihri cousine isch no mit cho
234,wie oh immer no zwöi angeri
235,aso ihrä vater ni aber es si ömu rächt viu lüt gsi woni nid kennt ha aber i ha mau gmeint mir mache öppis z zwöit
236,egau das isch bi ihre geng so
237,emu simer so (.) am ufeloufe gsi oder u ig so vou gmüetlech oder i meine i kennes haut mir si sit i chli bi geng wider ga wandere (.) i bi mers äuä gwannet
238,und dört sie het scho wanderschueh agha weisch usgrüstet si sie guet gsi
239,simer losgloffe so schnäu oh mini hüft tuet weh oh mis chnöi guet ja sie müesse itz tape und so
240,när bim loufe es si es paar wo äuä witer ufe si uf ds HOHTÜRLI
241,si när so cho simer so am loufe gsi oder und sie isch immer wider blibe stah u i so hey XXX louf doch eifach düre wüu jedes mau we du ahautisch muesch du wider aloufe (.) wius viu meh kraft chostet aus eifach schnäu düre z zieh
242,u när füüf minute pouse mache wüu we du viu pouse machsch (.)
243,ischs viu atrengender aus we du (.) eh einisch e drüü minute pouse machsch u när loufsch witer u när machsch villech einisch e zmittagspouse u so (.) das isch viu gäbiger
244,sie hets mir nid wöue gloube oder aber söu sies doch weisch gspüre i has am afang mim vater o nid gloubt
245,aber när so die angere wo so verbi gloffe si so tja s'muess si öppe no säuber merke aber rächt hesch
246,auso ja
247,denn hei mer ewigs bruucht für dert ufe
248,u när so i wott se nid schlächt mache weisch ke ahnig es tönt itz äuä gd henne so wie se schäacht mache (.) aber (.)
249,i mah nüm (.)
250,(..) so hey (..)
251,ja (..)
252,(.....) hä hä (..)
253,(.) XXX wie geits dim fuess (.) oh oh oh oh (.)
254,ching (.)
255,aber när simer so dunger ghocket hei ufe zug gwartet när ihres mami so auso auso i ha das wenier happig i erinnerig gha u (.)
256,(.) aber das isch haut eifach so teu lüt maches teu weniger weisch i fing es cool sie maches wenigstens no (.) sie när mit em bähnli ache oder (.) aber
257,fingi o ok geisch mit em bähnli ache
258,(......) ja (..) ja
259,(.) zwar weniger (..) mis mami u i si irgend wie ir letschti nüm so
260,aber i muess itz de
261,ja weisch mit dr XXX chönnti henne viu ga (.) wüu sie sie isch so richtig sie geit ja eifach allei u
262,oder so wie uf em jakobsweg
263,mini füess denn weisch (.) i bi ja die erste zwöi tag allei gloffe (.) vo hie bis uf TAFERS allei (.) u när vo TAFERS uf LAUSANNE isch sie när mit cho die räschtleche vier tag
264,die erste zwöi tag oder das isch vou gange dr erst tag weisch mega easy gsi mi hets no verschneit oder eh ds dings obe (.) u denn
265,ja ja nei es isch no nid TAFERS gsi es isch
266,ds erste bini uf RÜEGGISBERG gloffe (.) haut weisch SEFTIGE aus so (.) drüber
267,vo daheime us u när hets mi verschneit u isch henne chaut gsi aber denn das isch so easy gange aber i ganz vorwärts cho ha müesse zwungnegi pouse mache när bini glich fasch erfrore während em läsä
268,u när dört dasch när dasch mega cool gsi simer denn bir ungerkunft isch no ne angere gsi
269,(.) är isch so füfezwänzigi gloub gsi (.)
270,mir so när spontan dä isch aber lenger ungerwegs gsi dä het bis SPANIE wöue
271,(.) ja SANTIAGO DE COMPOSTELA dasch ds ziu
272,und vili aso weisch är geit ja dür ganz EUROPA
273,s'git er isch mega (.) es isch nid ei weg es isch es wegnetz
274,fasch chli
275,ehm (.) ja
276,u när haut so mit ihm het me chli chönne ustuusche
277,(.) u när am zwöite tag da hets mi när scho hert gha zum loufe (.)
278,wüu aso gägä schluss zue mir hei d füess so weh ta
279,(.) und i ha ja weisch so chli nid glänk füess (.)
280,und i hätt so ilageshole gha u ig chiller has haut nid mit gno (.)
281,und das het mir när so weh ta weisch nid so normau surre (.) nach em loufe wüu's ja nei es es het äbe würk weh ta das isch när (.) so hert gsi
282,nei am schluss d XXX het ihre hei d füess natürlech o weh ta (.) aber i gloub ke ahnig sie het nie weisch gross d XXX isch überhoupt ke jammeri (..)
283,ja sie isch hert im nä aber (.)
284,hmm i när so chöimer bitte bitte schnäu e pouse mache immer a de wüeschtischte orte überhoupt oder
285,z z  so weh ah (.) eh ja
286,ja ja nei aber ufgä wär für mi nie i frag cho (.) das hätti [nie] chönne igestah dass i das ufgä ha (..) ja
287,eh ja
288,(..) wo würdsch du gärn härä (.)
289,ah
290,ke ahnig kenne ni nid (.) aber XXX weissi wär
291,(......) das möchti o (...)
292,da het de d GRETA fröid (.)
293,(....) oh
294,(......) mhm
295,u när eifach öppis mache zwöi täg
296,guet im ne monet chunnsch das isch de weni zit
297,(....) ja so
298,das hani mir o scho überleit aber i fänds de o viu cooler aus immer mit em flugi vom einte ort zum angere mit em rucksack
299,nimmsch eifach (.) e rucksack mit u när klar am afang muesch flüge wüu süsch chunnsch eifach nid (.) us EUROPA (.) use
300,(.) aber u när muesch über RUSSLAND uf ASIE ga
301,oder ja guet es git scho no angeri müglechkeite (.) aber (.) glich ja
302,du chunnsch ohni flüge chunnsch da hesch ewigs
303,(.) (unverständlich) (.)
304,ja nei nid ohni loufe weisch haut zug oder (.) outo aber haut chli z flüge vermide wüu du gsehsch haut viu meh
305,(.) was i o henne cool fänd
306,fänd wer mau eifach ines land am beschte i nes land woni wo sie englisch rede oder irgendwie
307,chli ga schaffe dört i weiss doch o ni aus was irgenwie im ne hotel oder
308,(.) baarkeepere oder weiss weisch weiss nid was eifach so u när
309,bisch haut när eifach mitzt ir kultur inne (.) erläbsch es
310,(.........) ja (.)
311,ja u när luegsch (..)
312,(.) ja (...)
313,(....) ja fingi o (....) ja
314,äbe das fändi o cool irgendwiä i ha mir mau so überleit so HAWAII irgendwie geisch dört so ines beach resort chli ga (unverständlich) hesch zwar mit touris z tüe ja aber du hesch o mit de iiheimische z tüe
315,(.) u wed när haut dört so irgendwie ja du muesch haut mega offe si
316,und spontan
317,aber i fänds haut irgendwie cool weisch das mau z erläbe so u klar (.)
318,eifach itze so mini cousine die isch ehm ga reise uf IRLAND (.) isch gloub ei zwöi mönet eifach greist u när het sie no e monet oder so het sie eifach wöue ga schaffe dört
319,(.) u sie het ja büürin glehrt ir SCHWEIZ (.)
320,u het dört irendwie uf ene farm wöue (.) ja
321,i (.) i weiss gar nid
322,i hani so henne kontakt
323,aber das hani mitbecho
324,(unverständlich) (.)
325,(..) jap ja muess se de mau frage
326,wenni se gseh so im ne haube jahr
327,nei mir fiire nid mit dr XXX siite
328,nei sie isch es isch ds gross odr (.) drüü d mueter het vier schwoschte
329,(.) mhm (.)
330,drüü vo dene hei drüü ching u
331,die (.) einti het ja o scho wider es ching u (.) mir wäre mir si zää cousins u
332,cousine (.) u äbe die chlini u när hei aui ir zwüscheziit ahang
333,(.) bis uf
334,guet es hei es paar no nid ahang es hei nur d häufti (.) ahang aber es es wer eifach z gross mir hei no nie wiehnachte gfiiret (.) i dere siite mir fiire aube mit dr XXX siite
335,derfür hei mer immer dr geburi vo mim grosi aui zäme gfiiret
336,ja ja aber es isch haut einisch im jahr wo d sich gsehsch (.)
337,teu gsehsch würk nid meh aus denn teu gsehsch mau irgendwie da am ne alass oder irgendwie am ne get ready (.) oder so chöme die einte aube (..)
338,höhö (..) denn heter so komischi haar za gha
339,bim get ready het är so e afro gha
340,är het ja nüt afrikanischs odr är isch schwizer schwizer
341,(.) aber är het denn är het so locke oder mir hei aui locke bi üs (.) när het är e (unverständlich) gha es het so luschtig usgseh
342,(.) hoi (..)
343,ds get ready isch imfau im mai das jahr im mai afangs mai
344,(.) dasch süsch immer im märz gsi (.)
345,(.) mai tönt komisch wemes hundert mau seit (..)
346,aber irgendwie weiss oh nid wieso ischs äch wieder so nes get wart wie heisst (.) itz das ja genau get ready day
347,(.) hi
348,(. ) mhm ja vou
349,mou simer nid mir si denn (.) zäme gfahre
350,ja vou bini mit irgendöpperem
351,louft är no
352,schön
353,ämu mir si när so aso irgendwie a nes vortragszüg u irgendwie ischs komisch gsi aber
354,(.) i weiss no nid (unverständlich)
355,när simer umeghocket u hei ke motivation meh gha när hei mer afa spili spile mit de burgdorfer
356,(.) u headis spile denn hei mer z erste mau headis (.) gspiut
357,ah nei dir heits o scho im (.) süsch smartcamp stimmt
358,(.....) när steit öpper druf
359,ja (......)
360,muesch d schueh abzie und se id schue tue
361,aber ja
362,guet aber get ready gloub letscht jahr hets mi äbe gar ni so guet dünkt gha
363,ja klar äs mir wärde euter
364,mir si scho so aut (.) scho baud sibzähni
365,isch eigentlech scho krass i ha die ganz zit ds gfüue mir aso i sig scho sibzähni weiss nid wieso das hani no nie gha (.)
366,ke ahnig (.)
367,es isch so i wet immer so sibe aber eigentlech bini imfau no sächzähni (.)
368,wie aut bisch du itze
369,(.) guet weisch üses jungschi team we d das mau aluegsch XXX auso XXX isch dr äutischt und XXX dä wird füfezwänzgi (.) und we XXX geit XXX geit
370,de isch XXX gloub dr äutischt u dä wird gloub zwöiezwänzgi (.) u när XXX wird gloub einezwänzgi
371,(.) mir si so ds junge team (.) nei sie hüratet
372,sie hüratet i ersch im einezwänzgi gloub
373,ja wär weiss wenn die hürate
374,(.) oh villech imne jahr zwöi
375,ja wer weiss sie chöi ja dr är cha ja dr atrag mache für i zwöi jahr
376,ds het (.) ja d XXX hüratet äbä ja o ersch im einezwänzgi
377,und d XXX wenn hüratet d XXX weisch du das
378,weisch es du
379,o im einezwänzgi
380,(.) nei nei nei nid d XXX d XXX d XXX git gas (.) d XXX hüratet nächscht herbst
381,ja d XXX
382,ja das het bi ihre d XXX hets öppe gliichziitig erfahre wie de räschte so bi imfau verlobt hä auso sit wenn ja sit drüü mönet
383,i has itz nid gseit
384,krass ja d XXX het aber d location o scho
385,äuä är isch henne rot de wird henne süess si
386,i ha nid gärn süesse sirup
387,das isch immer wenn i bi dir bi cho fium luege (.) dir immer aui am glace ässe u i so isch gd guet ke luscht uf glace imfau mir hei no chips hei bi öich immer chips becho (.) we dir glace gha heit
388,wosch o
389,wosch du
390,oh oh oh mir chöi (.) lang labberä
391,aber müesst dir dès när aus ufschribe wo mir itz da säge
392,ischs nid ah nei mir hei berndütsch gredt aber we mers itz hochdütsch gmacht hätte hättisch chönne eifach play drücke u när hättses aues ufgschribe  (.)
393,ah mir hei eutereabe gha ir kita mir hei das ganze uf hochdütsch (.) müesse mache
394,(.) weisch du die zite si verbi wo chasch berndütsch rede
395,ischs (.) imfau uf hochdütsch höhöhö
396,viu nid mir (.) hei es paar dütschi (.)
397,die verstöh zwar meistens schwiizerdütsch mir hei villech so zwöi drüü lüt wod haut wo würk müeh hei mitm berndütsch
398,de de ja mir chöi aui hochdütsch
399,dasch so luschtig gsi mir hei so diskussionsrundine gha a de tische när dr eint so am tisch so umegluegt so auso u när so dr eint vater so auso i gloub mir chöi itz mau berndütsch rede oder
400,so gluegt so
401,d ching spile bi eus teuwis eifach immer uf hochdütsch
402,(.) ja ja ds XXX isch o so extrem gsi
403,ja aber i finge das so krass
404,mir ir letschti lose si wieder henne gärn CHASPERLI dänksch so guet immer hin dasch schwiizerdütsch
405,süsch si sie immer so PAW PATROL FEUERWEHRMANN SAM(.) wo das hei mer äbe schwiizerdütsch gluegt aube (.)  uf dr kassette
406,ja wo sie aube bi üs si gsi ja wir spielen mit drei hund eh wart was hei sie so für so zahle dass si aube sechzighundert werden oder irgendwie weisch irgend so (.) züg isch cho
407,i weiss nüm gnau wie aber es isch aube härzig gsi
408,(.) was wünscht sie sich es gschwüsterti
409,(.) ja ei e i
410,(.) oh (.)
411,uh (.) so härzig
412,(...) mit code (..) mit gott
413,ah (.) code
414,code (.)  chunnsch mit g o t (.) da hätti itz ender a gott dänkt u wüu ja s i ha mini bibu so gschmückt
415,so härzig
416,(..) p o o (..)
417,(.) guet dasch o eifach schwirig (.) wed haut (.) ja
418,isch so härzig
419,was wünscht sie sich vo PAW PATROL
420,es git so chlini es git die figürli gester hei zwö ching gd die drbi gha
421,(.) i cha itz sogar langsam d näme SKYE heisst eine eine heisst ROCKY
422,ah (.) scho
423,wobble wobble (.)
424,weiss imfau ni
425,i has nie gluegt i ghöre numme das was sie verezeue
426,mou mou i has mau gluegt woni ds XXX bi cho hüete
427,i ha ne wunschliste uf mim handy wüu (.) aso woni scho ds ganze jahr füehre wenni öppis möcht wüu süsch uuh
428,weisch so auso was wünschisch du dir eilech so
429,uhh
430,stimmt i ha när de
431,(..) guet das chöi sie dir ja nid zu wiehnachte schänke
432,liebi lüt i wünsche mir e lockestab
433,wüu
434,ja ehm
435,eifach (..) we we we se haut irgendwie am vortag gwäsche ha dass i am morge eifach es paar zwöi drüü schöni locke cha mache und de gsehts eifach de chönnti d haar wieder offe ha wüu i hasse das wes när so ghüsteret usgseht weisch so verstrublet
436,wä i (.) finges eifach nid schön
437,itz teu maches aber mir gfauts eifach nid u de de hase haut i mim typische rossschwanz
438,aber
439,ja super z gle- (..)
440,(......) aha ja
441,(....) nei du muesch ds uftue u när muesch d haar drum wickle u chaschs zue tue dass se het
442,egau aber haar glette (.) i ha mini haar gloub zwöi mau i mim läbe glettet einisch hesch du mir se glettet (..) u einisch ha einisch (.) ja u när hei mr henne stress gha für i gd
443,ja wie (.) geng
444,ja (.) hüt am morge isch imfau mir si beidi super gsi oder mir chöme so a bahnhof auso mir hei gester so gwitzlet ja wenn steisch du uf ja so am viertu ab odr i bi imfau würklech am viertu ab ufgtange
445,ehm (.) für am haubi z ga für dass eim guet längt und i hätt no söue billet löse
446,aber ehm (.) när chumi so a bahnhof (.) so ghöre so scheisse i gloube itz fahrt e zug hä aber es cha no nid mine si henne am luegä i ha mis velo itz nid bschlosse
447,u i so okay scheisse isch mine so u wäggsecklet vom veloständer so ungädüre u i ha gmeint weisch i ha de no meh zit weni füfedriisg ga für nünedriisg i meine es si ganzi vier minute zit
448,aber när chunnt är so (.) isch gd igfahre i seckle so unger düre gumpe i zug dänke ja d XXX isch sicher scho im zug
449,(.)  ja me gseht se so da stah u drücke
450,(..) ja das muesch luege we ds grüeni ringli no isch geit d türe no uf we ds grüene ringli weg isch de gö sie nümme uf
451,isch no da gsi (.) drum bini när o no cho drücke
452,(..) oh dasch e liebe lockfüehrer gsi (.) nächher hetter (unverständlich)
453,(.) isch immer so hert wed ne gd gsehsch weg fahre vor dire nase de tüe mr d lüt aube de henne leid (..) ja mhm (.) so
454,(.) nei au haub stung
455,guet immerhin hätte mer ne beidi verpasst
456,so hallo XXX mir chöme imfau e haub stung speter mir hei dr zug verpasst
457,doch ig einisch für uf THUN
458,aber da bini sächsedrissg dehei gange
